metric_code,metric_name,metric_desc,category_level1,category_level2,supported_dimensions,metric_aliases,indicator_id,decimal_places
pctr,pCTR,指标定义：预估点击率。指算法模型预测某个广告位在特定上下文（Context）下，被特定用户（User）点击的概率。 业务意义：衡量流量与广告素材的匹配度。它是排序公式（Rank Score）中最基础的乘数。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",pCTR,f407237633854f2db71f8c39e77d1907,8
pcvr,pCVR,指标定义：预估转化率。在发生点击的前提下，模型预测用户进一步完成转化行为（如下单、激活、留存）的概率。 业务意义：衡量广告落地页（Landing Page）的吸引力及流量的商业价值。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","pCVR(点击),pCVR",5232aa9c88ae49f1a116acbffd42d84a,8
mediaReceiveCount,广告返回个数,指标定义：广告返回个数，指事件发生的总次数。 业务意义：衡量广告相关事件发生频次的基础指标，用于统计分析。,填充指标,请求相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",广告返回个数,bbf23283c7b5476c94f78dfe734f7778,8
displayRate,展示率,指标定义：展示率，指广告请求成功获得填充或展示的比例。 业务意义：衡量广告库存利用效率和渠道质量的关键指标。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","展示率(应收曝光/返回个数),展示率",f83e35a73c7a46fb9a2612a93e20ce8f,8
roughRowParticipation,粗排总量,指标定义：粗排总量，指广告在召回或排序阶段的数量或比率。 业务意义：衡量广告系统推荐能力和过滤效果的中间层指标。,其他指标,其他,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",粗排总量,7657197de8654f8ea6f0b76b615b4c0c,8
roughRowWinRate,粗排胜出率,指标定义：粗排胜出率，指在竞价过程中获胜的次数占总参与次数的比例。 业务意义：衡量广告竞争力和出价策略有效性的重要指标。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",粗排胜出率,8c8cb0a521b2417089abda0721a33d05,8
recallSumWinRate,召回胜出率,指标定义：召回胜出率，指在竞价过程中获胜的次数占总参与次数的比例。 业务意义：衡量广告竞争力和出价策略有效性的重要指标。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",召回胜出率,71767e4942e847ac9184d2491cb7a920,8
expectedBid,期望出价,指标定义：期望出价，指广告竞价过程中的相关数据指标。 业务意义：衡量广告竞争力和出价策略效果的重要参考。,成本指标,成本相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","浅层期望转化成本,期望出价",02486b16d4514e339641b032668d7e9d,8
adRequestUV,请求UV,指标定义：请求UV，指去重后的用户数量。 业务意义：衡量广告触达独立用户规模的重要指标，反映广告投放的覆盖广度。,填充指标,请求相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",请求UV,e868fb75202f4b74bd1289bb7b1cfa03,8
adRequestPV,请求PV,指标定义：请求PV，指事件发生的总次数。 业务意义：衡量广告相关事件发生频次的基础指标，用于统计分析。,填充指标,请求相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","广告请求次数,请求PV",c3c16ad13d254dc48cd20560b24f8cb3,8
corpValue,广告主价值,指标定义：广告主价值，指事件发生的总次数。 业务意义：衡量广告相关事件发生频次的基础指标，用于统计分析。,其他指标,其他,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","总广告主价值_v3,广告主价值",6e48a3badffc4ed09604c976ec842104,8
adGroupShallowConversionNumber,任务浅层转化目标转化数,指标定义：任务浅层转化目标转化数，是广告投放过程中的重要业务指标。 业务意义：用于衡量和评估广告投放效果，支持业务决策和优化分析。,转化指标,转化数相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",任务浅层转化目标转化数,129497577c424152a6e4262fa7681c8e,8
realityConversionCost,实际转化成本,指标定义：实际转化成本，指为实现特定目标所投入的金额。 业务意义：衡量广告投放效率和广告主投入产出比的关键指标。,成本指标,成本相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",实际转化成本,f71bbfd73e7942cc98a2b16b74a896db,8
shallowCostOffset,浅层成本抵进,指标定义：浅层成本抵进，指实际价格与目标价格之间的差距。 业务意义：衡量价格偏离程度，用于评估竞价效率和成本控制情况。,成本指标,成本相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",浅层成本抵进,a361ede7c33f4be986f1562e73d0e7ae,8
stockCount,库存次数,指标定义：库存次数，指事件发生的总次数。 业务意义：衡量广告相关事件发生频次的基础指标，用于统计分析。,其他指标,其他,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","商业广告库存（统计话单）,库存次数",676026931bfc4028ab376c1eee07765d,8
stockNumber,库存个数,指标定义：库存个数，是广告投放过程中的重要业务指标。 业务意义：用于衡量和评估广告投放效果，支持业务决策和优化分析。,其他指标,其他,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","商业广告库存（统计话单）个数,库存个数",866fe92050b845eea57412e319f1b628,8
adsRequestCount,广告请求次数,指标定义：广告请求次数，一次请求可以请求多个广告。 业务意义：衡量广告相关事件发生频次的基础指标，用于统计分析。,填充指标,请求相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",广告请求次数,2f1b71c13cb14e069f01929083b5c51c,8
adRequestNumber,广告请求个数,指标定义：广告请求个数，指向广告系统请求的广告个数。 业务意义：衡量广告库存规模和用户触发广告请求行为的基础指标。,填充指标,请求相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",广告请求个数,8b06cc53d62b4c4d8c968eeeacbd6e5b,8
adReturnCount,广告返回次数,指标定义：广告返回次数，指事件发生的总次数。 业务意义：衡量广告相关事件发生频次的基础指标，用于统计分析。,填充指标,请求相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",广告返回次数,3f42b0926dc741a0a1c7dc0a8f790668,8
adFillRateCount,填充率（次数）,指标定义：填充率（次数），指事件发生的总次数。 业务意义：衡量广告相关事件发生频次的基础指标，用于统计分析。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","广告填充率(次数),填充率（次数）",6a74574ab5a9447fb6000d53a9a72512,8
adFillRateNumber,填充率（个数）,指标定义：填充率（个数），指广告请求成功获得填充或展示的比例。 业务意义：衡量广告库存利用效率和渠道质量的关键指标。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","广告填充率(个数),填充率（个数）",2b3841cdaed44db6b787a69eb7563a49,8
adImpRateCount,展示率（次数）,指标定义：展示率（次数），指事件发生的总次数。 业务意义：衡量广告相关事件发生频次的基础指标，用于统计分析。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","展示率(应收曝光/返回次数),展示率（次数）",2eb68a2276744f359c9e69fd16f52dda,8
adImpRateNumber,展示率（个数）,指标定义：展示率（个数），指广告请求成功获得填充或展示的比例。 业务意义：衡量广告库存利用效率和渠道质量的关键指标。,转化指标,转化率相关,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm","展示率(应收曝光/返回个数),展示率（个数）",f83e35a73c7a46fb9a2612a93e20ce8f,8
revenueGap,应收实收GAP,指标定义：应收实收GAP，指实际价格与目标价格之间的差距。 业务意义：衡量价格偏离程度，用于评估竞价效率和成本控制情况。,其他指标,其他,"day,reqDay,reqHour,hour,promotionTarget,mediaName,positionName,priceType,adGroupName,adGroupStatus,corpName,mediaType,slotForm",应收实收GAP,99ae5a393e8b452294691653337a02c8,8
