dimension_code,value,value_desc
packageName,com.huawei.browser,华为浏览器包名
packageName,com.huawei.himovie,华为视频包名
packageName,com.huawei.music,华为音乐包名
reqHour,0,0点
reqHour,8,8点
reqHour,12,12点
reqHour,18,18点
reqHour,23,23点
mediaAppSecondClass,短视频,短视频媒体
mediaAppSecondClass,长视频,长视频媒体
mediaAppSecondClass,新闻,新闻媒体
promotionType,竞价,竞价采买模式
promotionType,合约,合约采买模式
promotionType,定价采买,定价采买采买模式
promotionTarget,京东,京东电商平台
promotionTarget,京东金融,京东金融产品
promotionTarget,京东到家,京东到家服务
mediaName,华为应用市场,华为应用市场
mediaName,华为浏览器,华为浏览器
mediaName,华为视频,华为视频
mediaName,华为音乐,华为音乐
mediaName,华为阅读,华为阅读
promotionTarget,抖音,
promotionTarget,游戏APP,
promotionTarget,AG,
promotionTarget,快手,
promotionTarget,元保保险,
promotionTarget,美团,
promotionTarget,淘宝,
promotionTarget,拼多多DSP,
promotionTarget,拼多多,
dspId,1,华为
dspId,3,穿山甲
dspId,49,优量汇
dspId,67,巨量引擎 1
dspId,19,百青藤
dspId,83,快手综合
dspId,34,拼多多
dspId,50,爱奇艺
dspId,121,vivo
dspId,70,华为应用市场
dspId,7,阿里
dspId,53,乐元素
dspId,125,蚂蚁保
dspId,81,360综合
dspId,107,汇川
dspId,64,旺脉
dspId,51,科大讯飞
dspId,55,软告
dspId,117,淘联跃盟
dspId,58,佳投
dspId,119,淘联志隆
dspId,74,知乎
dspId,9,美团用增
dspId,79,快手
dspId,46,手淘
dspId,104,百度用增
dspId,124,微博
dspId,115,喜马拉雅
dspId,112,美团商增
dspId,21,加和Reachmax
dspId,114,巨量引擎 2
dspId,35,Microsoft
dspId,106,京准通3
dspId,72,华为游戏中心DSP
dspId,,
dspId,37,京东天宫
dspId,90,MGID
dspId,28,Test
dspId,38,Squid 1
positionName,内广-信息流（合约）,
positionName,综合DSP-华为应用市场-图标,
positionName,智能优选,
positionName,华为统一开屏-全屏,
positionName,鸿蒙生态应用,
positionName,HarmonyOS服务,
positionName,三方DSP-联盟-信息流-快应用,
positionName,非标-AG鸿飞计划专用-无返利,
positionName,华为统一开屏,
positionName,精品游戏联盟,
positionName,三方DSP-联盟-开屏-华为SSP-优,
positionName,娱乐与生活,
positionName,非标-智慧搜索-无返利,
positionName,三方DSP-联盟-插屏视频,
positionName,鸿蒙单框架版位,
positionName,综合DSP-自研-小艺建议图标,
positionName,综合DSP-自研-搜索直达,
positionName,信息流资讯,
positionName,三方DSP-联盟-激励视频,
positionName,三方DSP-联盟-信息流-华为SSP-优,
positionName,华为统一开屏（视频）-合约,
positionName,综合DSP-自研-应用图标,
positionName,信息流大图文（合约）,
positionName,综合DSP-自研-小艺建议习惯推,
positionName,华为统一开屏(合约),
positionName,HarmonyOS服务-图标促活,
positionName,直客DSP-自研-信息流,
positionName,应用图标广告-优选,
positionName,三方DSP-游戏-激励视频,
positionName,综合DSP-自研-信息流-浏览器-优量汇,
positionName,内广-信息流,
positionName,HarmonyOS服务-鸿飞,
positionName,三方DSP-联盟-信息流-应用,
positionName,小艺建议应用图标-非首页促活,
positionName,小艺建议应用图标-首页促活,
positionName,综合DSP-自研-信息流-浏览器-穿山甲,
positionName,综合DSP-游戏-原生插屏-测试3,
positionName,三方DSP-游戏-插屏视频,
positionName,信息流资讯-IAA快应用,
positionName,小艺建议内容样式场景卡（合约）-无返利,
positionName,综合DSP-自研-信息流-除穿优,
positionName,综合DSP-自研-信息流-穿山甲,
positionName,鸿蒙生态应用-得物,
positionName,智能优选-无图标,
positionName,直客DSP-自研-开屏,
positionName,AG DSP-自研-应用图标,
positionName,联盟快应用原生 -动态商品广告,
positionName,综合DSP-自研-信息流-优量汇,
positionName,直客DSP-自研-应用图标,
positionName,华为统一开屏-全屏-鸿飞专用,
positionName,内广-图标,
positionName,快游戏图标-测试,
positionName,灵眸开屏-图片(合约）-鸿飞专用,
positionName,内广-焦点图,
positionName,双C二阶通投版位,
positionName,直客DSP-自研-小艺建议图标-阿里,
positionName,灵眸开屏-图片(合约）-新,
positionName,统一焦点图（合约）,
positionName,鸿蒙游戏单框架版位,
positionName,智慧助手-动态推荐卡（竞价）,
positionName,娱乐与生活-IAA快应用,
positionName,浏览器搜索直达,
positionName,直客DSP-自研-信息流-阿里,
positionName,三方DSP-联盟-开屏,
positionName,阅读章节页Banner大图文,
positionName,小艺建议图标-非首页促活-动态商品广告,
positionName,智能优选-鸿飞,
positionName,直客DSP-自研-信息流-阅读,
positionName,直客DSP-自研-小艺建议图标,
positionName,快游戏原生插屏,
positionName,综合DSP-自研-开屏,
positionName,三方DSP-游戏-信息流,
positionName,AG DSP-联盟-信息流,
positionName,综合DSP-自研-信息流-阅读,
positionName,综合DSP-自研-激励图标-底价300,
positionName,小艺建议内容样式场景卡（竞价测试）,
positionName,浏览器全流量,
positionName,直客DSP-自研-服务直达,
positionName,华为统一开屏（视频）-天气（合约）,
positionName,娱乐与生活-无图标,
positionName,非标-鸿蒙元服务推广-无返利,
positionName,综合DSP-自研-信息流-浏览器低价,
positionName,非标-热门应用-智慧助手（无返利）,
positionName,信息流-动态商品广告-严选,
positionName,非标-浏览器文末广告-无返利,
positionName,竖版小视频,
positionName,阿里DSP-联盟-激励视频,
positionName,华为统一开屏（图片）-音乐（合约）,
positionName,拼多多DSP-自研-激励图标,
positionName,联盟插屏图片-动态商品广告,
positionName,非标-推荐卡-智慧助手（无返利）,
positionName,华为统一开屏-浏览器（合约）,
positionName,非标-二级页氛围图（实况）-天气（合约）,
positionName,非标-小艺建议应用图标-首页促活,
positionName,非标-首页智能卡-天气（合约）,
positionName,智能优选-小游戏行业VIP,
positionName,游戏Banner,
positionName,联盟开屏,
positionName,三方DSP-鸿蒙-联盟插屏,
positionName,三方DSP-游戏-开屏,
positionName,三方DSP-联盟-应用图标-快应用,
positionName,音乐播放页圆图-多规格（合约）,
positionName,三方DSP-鸿蒙-联盟开屏,
positionName,非标-好物推荐-华为日历（无返利）,
positionName,直客DSP-自研-激励场景图标,
positionName,智能优选-IAA游戏行业VIP,
positionName,三方DSP-游戏-banner,
positionName,智能优选-IAA快应用,
business_partnership,商业合作,
business_partnership,华为集团,
business_partnership,自运营,
business_partnership,集团商业竞价不结算,
business_partnership,集团商业竞价结算,
